,ts_code_sh_index,trade_date,close_sh_index,open_sh_index,high_sh_index,low_sh_index,pre_close_sh_index,change_sh_index,pct_chg_sh_index,vol_sh_index,amount_sh_index,ts_code_sz_index,close_sz_index,open_sz_index,high_sz_index,low_sz_index,pre_close_sz_index,change_sz_index,pct_chg_sz_index,vol_sz_index,amount_sz_index
2171,000001.SH,20150514,4378.311,4372.816,4397.745,4329.042,4375.76,2.551,0.0583,449077935.0,669882275.551,399001.SZ,15024.468,15210.753,15299.794,15003.723,15173.092,-148.624,-0.9795,337960219.87,696829201.4226
2172,000001.SH,20150513,4375.76,4402.378,4415.629,4342.481,4401.219,-25.459,-0.5785,510490475.0,780754937.529,399001.SZ,15173.092,15075.024,15245.813,14962.377,15066.289,106.803,0.7089,347022211.54,731822670.7727
2173,000001.SH,20150512,4401.219,4342.37,4402.309,4317.975,4333.584,67.635,1.5607,521866408.0,793463723.357,399001.SZ,15066.289,14975.226,15088.96,14879.597,14944.883,121.406,0.8124,334000961.84,720769296.8466
2174,000001.SH,20150511,4333.584,4231.271,4334.877,4187.82,4205.917,127.667,3.0354,488750515.0,715246611.473,399001.SZ,14944.883,14572.815,14946.651,14447.781,14481.249,463.634,3.2016,317394179.21,668704410.5335
2175,000001.SH,20150508,4205.917,4152.984,4206.86,4099.042,4112.214,93.703,2.2787,397428094.0,559648658.845,399001.SZ,14481.249,14271.461,14481.438,14165.07,14114.728,366.521,2.5967,254235473.35,512939721.7893
2176,000001.SH,20150507,4112.214,4197.896,4213.764,4108.009,4229.266,-117.052,-2.7677,394566653.0,540206291.394,399001.SZ,14114.728,14080.355,14226.08,14027.603,14136.166,-21.438,-0.1517,226513292.22,427043979.3525
2177,000001.SH,20150506,4229.266,4311.641,4376.353,4187.368,4298.706,-69.44,-1.6154,481732993.0,716536206.667,399001.SZ,14136.166,14347.55,14569.645,14032.021,14233.098,-96.932,-0.681,266597218.75,516906447.0461
2178,000001.SH,20150505,4298.706,4479.848,4488.865,4282.237,4480.464,-181.758,-4.0567,572858596.0,805566079.218,399001.SZ,14233.098,14831.905,14831.905,14145.501,14860.53,-627.432,-4.2221,300637801.98,536178153.5233
2179,000001.SH,20150504,4480.464,4441.343,4487.57,4387.426,4441.655,38.809,0.8738,494173398.0,717540809.442,399001.SZ,14860.53,14846.478,14958.791,14714.912,14818.64,41.89,0.2827,264061794.52,499171092.2537
2180,000001.SH,20150430,4441.655,4483.013,4507.344,4441.054,4476.62,-34.965,-0.7811,526727975.0,774349211.674,399001.SZ,14818.64,14909.06,15009.729,14818.64,14871.952,-53.312,-0.3585,276318705.45,546808266.5034
2181,000001.SH,20150429,4476.62,4446.119,4499.945,4398.639,4476.215,0.405,0.009,519834202.0,752401785.94,399001.SZ,14871.952,14669.217,14907.957,14542.321,14707.245,164.707,1.1199,272506011.42,526702466.5531
2182,000001.SH,20150428,4476.215,4527.635,4572.391,4432.904,4527.396,-51.181,-1.1305,767676416.0,1061172124.953,399001.SZ,14707.245,14946.95,14979.81,14580.422,14809.424,-102.179,-0.69,333952855.15,613771345.2656
2183,000001.SH,20150427,4527.396,4441.929,4529.735,4441.929,4393.686,133.71,3.0432,671088521.0,975242093.76,399001.SZ,14809.424,14749.024,14910.313,14644.007,14598.695,210.729,1.4435,345252659.09,636505402.6907
2184,000001.SH,20150424,4393.686,4355.951,4416.376,4318.119,4414.508,-20.822,-0.4717,628554996.0,916872935.533,399001.SZ,14598.695,14615.535,14771.287,14422.537,14743.217,-144.522,-0.9803,353165959.33,640006983.1136
2185,000001.SH,20150423,4414.508,4414.485,4444.41,4358.844,4398.494,16.014,0.3641,667344661.0,963024929.251,399001.SZ,14743.217,14842.205,14893.01,14647.138,14749.133,-5.916,-0.0401,378663766.06,687742986.904
2186,000001.SH,20150422,4398.494,4304.597,4400.193,4297.951,4293.623,104.871,2.4425,680305086.0,976876960.434,399001.SZ,14749.133,14529.244,14756.152,14510.934,14438.995,310.138,2.1479,363904289.57,651713100.246
2187,000001.SH,20150421,4293.623,4212.185,4294.375,4188.569,4217.077,76.546,1.8151,634470627.0,862447782.633,399001.SZ,14438.995,13882.436,14438.995,13882.436,13871.599,567.396,4.0903,309272608.14,548745743.9496
2188,000001.SH,20150420,4217.077,4301.352,4356.001,4190.681,4287.296,-70.219,-1.6378,857132807.0,1147600604.263,399001.SZ,13871.599,14132.829,14288.325,13814.961,14149.342,-277.743,-1.9629,370369416.55,627495742.114
