,ts_code,name,count,exchange,list_date,type
399,886027.TI,新冠特效药,33,A,20221216,N
400,886028.TI,血氧仪,22,A,20221227,N
401,886030.TI,成飞概念,34,A,20230130,N
402,886031.TI,ChatGPT概念,112,A,20230131,N
403,886032.TI,固态电池,90,A,20230208,N
404,886033.TI,共封装光学（CPO）,73,A,20230210,N
405,886034.TI,数字水印,29,A,20230214,N
406,886035.TI,毫米波雷达,79,A,20230222,N
407,886036.TI,时空大数据,46,A,20230302,N
408,886037.TI,6G概念,49,A,20230302,N
409,886038.TI,超导概念,20,A,20230310,N
410,886039.TI,ERP概念,24,A,20230321,N
411,886040.TI,MLOps概念,18,A,20230404,N
412,886041.TI,数据要素,244,A,20230411,N
413,886042.TI,存储芯片,75,A,20230413,N
414,886043.TI,太赫兹,20,A,20230420,N
415,886044.TI,液冷服务器,63,A,20230427,N
416,886045.TI,同花顺中特估100,100,A,20230505,N
417,886046.TI,MR（混合现实）,57,A,20230522,N
418,886047.TI,脑机接口,18,A,20230529,N
419,886048.TI,英伟达概念,53,A,20230530,N
420,886049.TI,空间计算,48,A,20230609,N
421,886050.TI,算力租赁,89,A,20230612,N
422,886051.TI,减肥药,42,A,20230810,N
423,886052.TI,核污染防治,47,A,20230828,N
424,886053.TI,BC电池,34,A,20230906,N
425,886054.TI,光刻机,30,A,20230908,N
426,886055.TI,星闪概念,48,A,20230912,N
427,886056.TI,阿尔茨海默概念,25,A,20230919,N
428,886057.TI,新型工业化,187,A,20230925,N
429,886058.TI,华为昇腾,32,A,20231025,N
430,886059.TI,智能座舱,71,A,20231103,N
431,886060.TI,短剧游戏,42,A,20231107,N
432,886061.TI,长安汽车概念,193,A,20231127,N
433,886062.TI,多模态AI,82,A,20231208,N
434,886063.TI,PEEK材料,15,A,20231220,N
435,886064.TI,小米汽车,47,A,20231228,N
436,886065.TI,可控核聚变,33,A,20240102,N
437,886066.TI,飞行汽车(eVTOL),39,A,20240111,N
438,886067.TI,低空经济,139,A,20240126,N
439,886068.TI,Sora概念(文生视频),23,A,20240219,N
440,886069.TI,人形机器人,31,A,20240227,N
441,886070.TI,AI手机,19,A,20240304,N
442,886071.TI,AI PC,13,A,20240305,N
443,886072.TI,高股息精选,243,A,20240312,N
444,886073.TI,铜缆高速连接,24,A,20240320,N
445,886074.TI,AI语料,31,A,20240325,N
446,886075.TI,同花顺出海50,50,A,20240403,N
